Temperature - monthly avg,Rainfall - monthly avg,Humidity (%) - montly avg,Wind Speed - monthly avg,Crop Yield,Acreage,Nitrogen Soil Presence,Potassium Soil Presence,Phosphorus Soil Presence,Lbs. Nitrogen Fertilizer,Lbs. Phosphorous Fertilizer,Lbs. Potassium Fertilizer
59,28,0.2020892614,12,39763,932,0.8222890063,0.3900278856,0.6323765966,276,383,345
61,52,0.2027128287,13,48682,689,0.8803441541,0.3176998013,0.6697268124,186,291,345
66,56,0.2852938431,40,11214,667,0.4611219922,0.6204179462,0.8905535043,170,187,261
85,16,0.1763013632,5,25750,963,0.09572398102,0.8109716655,0.3699659028,263,177,331
90,60,0.5836112638,22,48039,493,0.3041439446,0.8306500246,0.7932826419,259,320,290
85,18,0.8279938338,3,19441,154,0.9159552272,0.5782194831,0.3787674383,101,324,172
41,24,0.09024099796,37,30941,967,0.8102936096,0.5264483325,0.5378560461,245,472,212
75,53,0.6077624992,22,27318,745,0.0388539824,0.8930638895,0.3405623105,190,379,404
73,55,0.9114386432,15,19405,329,0.488493573,0.8167852489,0.2835663438,229,316,476
51,50,0.5495010064,23,38811,416,0.2783809939,0.3973919653,0.9956564429,235,242,302
52,44,0.7870532441,33,13664,232,0.6157725871,0.09472232809,0.4931582377,217,258,349
24,44,0.257241204,6,30154,911,0.8862668752,0.6639227167,0.739784445,179,242,457
82,17,0.9772058371,27,22733,578,0.2815916977,0.7700705089,0.8417285054,110,443,193
67,34,0.7333156476,18,42965,248,0.4850442299,0.1274871077,0.5259906541,158,172,124
53,42,0.8503064739,32,38762,749,0.6090056927,0.4867520611,0.8237922829,170,272,337
46,46,0.4891800061,26,44885,361,0.5110788022,0.6320539807,0.9489228739,292,402,258
85,17,0.3580288231,7,26729,390,0.890456212,0.5526561511,0.1255320658,166,156,141
89,12,0.2208445459,24,37248,316,0.7517876769,0.95511649,0.712819614,261,389,238
30,36,0.4630076656,22,43008,489,0.1346793728,0.2081462847,0.9720259747,132,330,367
45,36,0.4913759742,22,48974,532,0.5485260377,0.807546184,0.4401356535,255,216,455
76,56,0.2888395164,37,26638,117,0.1016127712,0.1317038845,0.9118346449,277,446,424
86,34,0.5975988743,38,41226,884,0.6867468015,0.3843734078,0.4171441756,212,276,127
32,38,0.8177725243,32,12381,325,0.4888758242,0.107366057,0.7514061352,292,114,246
33,27,0.2212103915,3,11440,141,0.4284975855,0.7134798276,0.9946071728,205,340,194
60,34,0.8819616455,15,33503,825,0.1953184548,0.7978905638,0.7214058142,123,211,440
72,51,0.799655041,33,30185,840,0.6890001797,0.9525901057,0.923728096,228,136,247
76,12,0.7264106289,29,32686,576,0.9276060335,0.9285928298,0.05274004653,248,422,328
55,13,0.382293978,13,36495,481,0.008215707277,0.7922921202,0.4774746684,182,421,299
65,40,0.7971690155,31,29009,667,0.2225297107,0.09755486549,0.3025367481,122,331,404
74,33,0.2550323723,9,37520,120,0.8185685869,0.09054732739,0.2117429533,183,152,113
83,30,0.5928195898,16,44116,216,0.8527690775,0.7057877657,0.3248691827,227,371,138
58,56,0.8733915882,36,11863,176,0.01938968836,0.3830925605,0.1958586426,226,292,149
74,40,0.3609748213,39,27859,885,0.6736369176,0.8226949552,0.2871324005,280,299,499
61,19,0.8011679887,2,42314,124,0.1045292486,0.559478285,0.383086881,166,179,359
40,12,0.3089721097,23,38253,792,0.09372010132,0.9539667811,0.6346486388,209,152,351
87,33,0.9298109251,5,26852,250,0.9787380848,0.5758064002,0.004029598002,291,293,367
59,21,0.4981587429,29,27343,427,0.3384954366,0.8063449086,0.1816091334,100,431,263
22,12,0.3823648528,5,15067,922,0.176957014,0.8864677602,0.8132878674,178,445,297
53,45,0.1074125789,9,28009,603,0.5825122834,0.001410091761,0.3185528211,203,244,386
56,27,0.1745095757,16,13186,757,0.8640948994,0.346657017,0.1761879686,100,449,235
80,43,0.6715462815,40,20206,607,0.3965411901,0.8929286212,0.672303518,140,475,400
20,47,0.01253377687,15,11901,911,0.7460990374,0.6778541803,0.1807232598,165,388,389
77,23,0.8460627353,22,11888,614,0.06951064114,0.912971961,0.9150855193,179,107,237
89,49,0.01199570228,16,38430,345,0.7303856203,0.4468800831,0.6425303309,233,463,244
64,26,0.3278122874,37,42118,648,0.4837861492,0.2940095854,0.0112313784,172,314,313
69,17,0.6887459829,21,13699,627,0.8086356882,0.6170008865,0.339456527,105,239,113
77,39,0.6122690648,15,23482,481,0.8434585317,0.2798499719,0.212681092,162,256,276
51,32,0.2326673175,36,47301,234,0.5305793861,0.5526961139,0.4782193346,206,387,127
76,36,0.1175890141,4,18965,580,0.6602475609,0.5994256597,0.002917869977,131,272,417
77,44,0.8600576565,1,21538,309,0.536075197,0.3483102429,0.02931325333,140,462,343
46,40,0.9129066367,30,45455,289,0.7062105011,0.6951196758,0.862040617,174,495,430
48,54,0.3485559615,31,40451,920,0.7162936684,0.1894498261,0.5475709063,290,196,138
46,58,0.3974163352,8,11932,371,0.8468719031,0.9921183815,0.8366532618,271,180,243
32,14,0.6937636345,33,23383,228,0.5942747392,0.3136121949,0.6638887126,245,134,326
24,39,0.06598790472,14,34326,677,0.7072279029,0.9970352913,0.0848548981,140,358,205
71,47,0.05351048866,35,23279,561,0.7210485892,0.9164584489,0.9372171632,243,177,413
29,26,0.2290798051,35,49740,394,0.4152726773,0.7120359704,0.7009115304,206,127,117
55,54,0.7376824311,27,39407,612,0.1557764832,0.9400666639,0.9029990933,209,445,329
83,50,0.7266068333,36,28198,147,0.3665665345,0.3435423598,0.5626241057,197,264,411
46,28,0.2916773308,26,29123,712,0.1762374559,0.2014934272,0.2621988253,128,226,154
88,45,0.2686402621,2,47611,933,0.1966091131,0.5303105294,0.7778012764,124,258,223
38,46,0.6522703246,25,14440,242,0.09809184106,0.3804770339,0.4006594909,171,393,303
86,29,0.7661823064,8,14128,964,0.307468285,0.8816438104,0.6097916943,132,298,420
29,41,0.7277035937,27,41667,632,0.6757016406,0.3249527663,0.0978865087,184,350,238
73,52,0.5829658288,22,21515,657,0.2276904197,0.9294793334,0.8453020512,135,343,145
30,43,0.4803073441,37,15912,413,0.831263205,0.2774198471,0.02299158541,224,270,220
21,58,0.9788469676,17,35179,994,0.3808018101,0.1942061876,0.2246675593,289,406,303
63,38,0.9404099403,1,30663,346,0.0893670464,0.5336642478,0.6783251221,106,252,414
